Location,date,time,duration,intensity (85%ile delay)
Holloway-Circus-inbound,"Saturday,2018-11-24",11:19:22-21:27:36,10.1,2.8
Holloway-Circus-inbound,"Saturday,2018-11-17",14:34:54-20:26:56,5.9,3.0
Holloway-Circus-inbound,"Tuesday,2018-11-27",14:41:02-19:25:13,4.7,2.9
Holloway-Circus-inbound,"Sunday,2018-11-25",15:17:55-19:41:05,4.4,2.2
Holloway-Circus-inbound,"Thursday,2018-11-29",11:00:04-13:53:28,2.9,3.0
Holloway-Circus-inbound,"Friday,2018-11-09",18:57:15-21:25:43,2.5,3.3
Holloway-Circus-inbound,"Wednesday,2018-11-14",15:42:36-18:33:19,2.8,2.5
Holloway-Circus-inbound,"Tuesday,2018-11-20",15:29:05-17:51:56,2.4,2.5
Holloway-Circus-inbound,"Wednesday,2018-11-28",14:40:13-17:45:24,3.1,1.9
Holloway-Circus-inbound,"Friday,2018-11-23",18:30:56-21:07:58,2.6,2.1
Holloway-Circus-inbound,"Thursday,2018-11-22",15:45:37-17:23:46,1.6,3.2
Holloway-Circus-inbound,"Tuesday,2018-11-13",15:40:31-17:36:30,1.9,2.4
Holloway-Circus-inbound,"Saturday,2018-11-10",17:31:32-19:44:35,2.2,1.9
Holloway-Circus-inbound,"Sunday,2018-11-11",12:01:43-13:17:02,1.3,3.2
Holloway-Circus-inbound,"Thursday,2018-11-29",15:43:23-17:49:28,2.1,1.9
Holloway-Circus-inbound,"Wednesday,2018-11-21",15:41:44-17:23:00,1.7,2.2
Holloway-Circus-inbound,"Thursday,2018-11-22",17:31:41-18:27:31,0.9,4.0
Holloway-Circus-inbound,"Thursday,2018-11-15",14:24:41-15:31:19,1.1,3.0
Holloway-Circus-inbound,"Friday,2018-11-23",15:20:53-16:58:12,1.6,1.9
Holloway-Circus-inbound,"Thursday,2018-11-15",17:31:57-18:48:40,1.3,2.0
Holloway-Circus-inbound,"Tuesday,2018-11-06",16:16:51-17:32:34,1.3,2.0
Holloway-Circus-inbound,"Tuesday,2018-11-06",09:41:43-10:35:53,0.9,2.8
Holloway-Circus-inbound,"Saturday,2018-11-10",13:36:38-15:00:42,1.4,1.7
Holloway-Circus-inbound,"Saturday,2018-11-17",12:26:22-13:41:41,1.3,1.8
Holloway-Circus-inbound,"Wednesday,2018-11-07",15:57:49-16:48:01,0.8,2.6
Holloway-Circus-inbound,"Friday,2018-11-09",15:32:19-16:31:46,1.0,2.0
Holloway-Circus-inbound,"Wednesday,2018-11-07",09:31:26-10:04:54,0.6,2.8
Holloway-Circus-inbound,"Monday,2018-11-19",16:15:44-17:05:36,0.8,1.9
Holloway-Circus-inbound,"Wednesday,2018-11-21",14:47:46-15:23:40,0.6,2.0
Holloway-Circus-inbound,"Thursday,2018-11-08",16:07:55-16:39:01,0.5,2.1
Holloway-Circus-inbound,"Monday,2018-11-05",15:58:18-16:34:53,0.6,1.7
